state_name,district_name
Andaman & Nicobar Islands,NICOBAR
Andaman & Nicobar Islands,NORTH AND MIDDLE ANDAMAN
Andaman & Nicobar Islands,SOUTH ANDAMAN
Andhra Pradesh,Annamayya
Andhra Pradesh,Palnadu
Andhra Pradesh,Prakasam
Andhra Pradesh,Ananthapuramu
Andhra Pradesh,Nandyal
Andhra Pradesh,Kakinada
Andhra Pradesh,Anakapalli
Andhra Pradesh,Parvathipuram Manyam
Andhra Pradesh,Guntur
Andhra Pradesh,Sri Sathya Sai
Andhra Pradesh,Visakhapatnam
Andhra Pradesh,Tirupati
Andhra Pradesh,NTR
Andhra Pradesh,Sri Potti Sriramulu Nellore
Andhra Pradesh,West Godavari
Andhra Pradesh,YSR
Andhra Pradesh,Nellore
Andhra Pradesh,Alluri Sitharama Raju
Andhra Pradesh,Bapatla
Andhra Pradesh,Dr.B.R.Ambedkar Konaseema
Andhra Pradesh,Eluru
Andhra Pradesh,Chittoor
Andhra Pradesh,Krishna
Andhra Pradesh,Vizianagaram
Andhra Pradesh,Kurnool
Andhra Pradesh,East Godavari
Andhra Pradesh,Srikakulam
Andhra Pradesh,Kadapa
Andhra Pradesh,Anantapur
Arunachal Pradesh,NAMSAI
Arunachal Pradesh,EAST SIANG
Arunachal Pradesh,SHI-YOMI
Arunachal Pradesh,EAST KAMENG
Arunachal Pradesh,DIBANG VALLEY
Arunachal Pradesh,UPPER SIANG
Arunachal Pradesh,LONGDING
Arunachal Pradesh,WEST KAMENG
Arunachal Pradesh,KURUNG KUMEY
Arunachal Pradesh,TAWANG
Arunachal Pradesh,UPPER SUBANSIRI
Arunachal Pradesh,WEST SIANG
Arunachal Pradesh,SIANG
Arunachal Pradesh,CHANGLANG
Arunachal Pradesh,ANJAW
Arunachal Pradesh,LOWER DIBANG VALLEY
Arunachal Pradesh,LOWER SUBANSIRI
Arunachal Pradesh,LOHIT
Arunachal Pradesh,PAPUM PARE
Arunachal Pradesh,TIRAP
Assam,KAMRUP (METRO)
Assam,CACHAR
Assam,DIBRUGARH
Assam,UDALGURI
Assam,BAJALI
Assam,BISWANATH
Assam,SOUTH SALMARA MANKACHAR
Assam,DIMA HASAO
Assam,SONITPUR
Assam,TINSUKIA
Assam,MAJULI
Assam,HOJAI
Assam,BAKSA
Assam,SIVASAGAR
Assam,JORHAT
Assam,WEST KARBI ANGLONG
Assam,KAMRUP.
Assam,DARRANG
Assam,CHARAIDEO
Assam,KARIMGANJ
Assam,KARBI ANGLONG
Assam,BARPETA
Assam,MORIGAON
Assam,NAGAON
Assam,HAILAKANDI
Assam,GOALPARA
Assam,CHIRANG
Assam,DHUBRI
Assam,BONGAIGAON
Assam,KOKRAJHAR
Assam,NALBARI
Assam,DHEMAJI
Assam,GOLAGHAT
Assam,SIBSAGAR
Assam,LAKHIMPUR
Bihar,SAHARSA
Bihar,BEGUSARAI
Bihar,DARBHANGA
Bihar,SITAMARHI
Bihar,MUZAFFARPUR
Bihar,ARWAL
Bihar,SHEIKHPURA
Bihar,BUXAR
Bihar,KAIMUR (BHABUA)
Bihar,BANKA
Bihar,GAYA
Bihar,AURANGABAD
Bihar,PATNA
Bihar,PURVI CHAMPARAN
Bihar,PURNIA
Bihar,ROHTAS
Bihar,MADHUBANI
Bihar,KHAGARIA
Bihar,SIWAN
Bihar,BHAGALPUR
Bihar,SAMASTIPUR
Bihar,JAMUI
Bihar,GOPALGANJ
Bihar,SHEOHAR
Bihar,PASCHIM CHAMPARAN
Bihar,ARARIA
Bihar,VAISHALI
Bihar,JAHANABAD
Bihar,KISHANGANJ
Bihar,NALANDA
Bihar,MADHEPURA
Bihar,SUPAUL
Bihar,NAWADA
Bihar,KATIHAR
Bihar,MUNGER
Bihar,LAKHISARAI
Bihar,BHOJPUR
Bihar,SARAN
Chandigarh,CHANDIGARH
Chattisgarh,BALODABAZAR - BHATAPARA
Chattisgarh,RAIGARH
Chattisgarh,SUKMA
Chattisgarh,RAJNANDGAON
Chattisgarh,KONDAGAON
Chattisgarh,SURAJPUR
Chattisgarh,MAHASAMUND
Chattisgarh,BALOD
Chattisgarh,GAURELA-PENDRA-MARWAHI
Chattisgarh,UTTAR BASTAR KANKER
Chattisgarh,MUNGELI
Chattisgarh,BASTAR (JAGDALPUR)
Chattisgarh,RAIPUR
Chattisgarh,JASHPUR
Chattisgarh,DAKSHIN BASTAR DANTEWADA
Chattisgarh,BEMETARA
Chattisgarh,DURG
Chattisgarh,SURGUJA
Chattisgarh,MANENDRAGARH-CHIRMIRI-BHARATPUR
Chattisgarh,SAKTI
Chattisgarh,SARANGARH BILAIGARH
Chattisgarh,BILASPUR
Chattisgarh,BIJAPUR
Chattisgarh,JANJGIR-CHAMPA
Chattisgarh,BALRAMPUR
Chattisgarh,GARIYABAND
Chattisgarh,DHAMTARI
Chattisgarh,KABIRDHAM
Chattisgarh,KORIA
Chattisgarh,KORBA
Chattisgarh,NARAYANPUR
Chhattisgarh,RAIPUR
Chhattisgarh,GARIYABAND
Chhattisgarh,MAHASAMUND
Chhattisgarh,BIJAPUR
Chhattisgarh,SUKMA
Chhattisgarh,SURGUJA
Chhattisgarh,DURG
Chhattisgarh,BASTAR (JAGDALPUR)
Chhattisgarh,NARAYANPUR
Chhattisgarh,MOHLA-MANPUR-AMBAGARH CHOUKI
Chhattisgarh,BALRAMPUR
Chhattisgarh,SURAJPUR
Chhattisgarh,GAURELA-PENDRA-MARWAHI
Chhattisgarh,UTTAR BASTAR KANKER
Chhattisgarh,RAIGARH
Chhattisgarh,MUNGELI
Chhattisgarh,SARANGARH-BILAIGARH
Chhattisgarh,BILASPUR
Chhattisgarh,KORIA
Chhattisgarh,MOHLA-MAANPUR-An. CHOUKI
Chhattisgarh,JASHPUR
Chhattisgarh,KHAIRAGARH-CHHUIKHADAN-GANDAI
Chhattisgarh,MANENDRAGARH-CHIRMIRI-BHARATPUR
Chhattisgarh,DAKSHIN BASTAR DANTEWADA
Chhattisgarh,KORBA
Chhattisgarh,RAJNANDGAON
Chhattisgarh,JANJGIR-CHAMPA
Chhattisgarh,KABIRDHAM
Chhattisgarh,BEMETARA
Chhattisgarh,KONDAGAON
Chhattisgarh,SAKTI
Chhattisgarh,BALOD
Chhattisgarh,DHAMTARI
Chhattisgarh,BALODABAZAR - BHATAPARA
Dadra & Nagar Haveli,Dadra & Nagar Haveli
Dadra & Nagar Haveli and Daman & Diu,DADRA & NAGAR HAVELI
Dadra & Nagar Haveli and Daman & Diu,DAMAN
Dadra & Nagar Haveli and Daman & Diu,DIU
Daman & Diu,DIU
Daman & Diu,DAMAN
Goa,North Goa
Goa,South Goa
Gujarat,Narmada
Gujarat,Surat
Gujarat,Morbi
Gujarat,Vadodara
Gujarat,Valsad
Gujarat,Navsari
Gujarat,Panchmahal
Gujarat,Porbandar
Gujarat,Devbhumi Dwarka
Gujarat,Bhavnagar
Gujarat,Mahisagar
Gujarat,Gandhinagar
Gujarat,Tapi
Gujarat,Gir Somnath
Gujarat,Bharuch
Gujarat,Kachchh
Gujarat,Junagadh
Gujarat,Mahesana
Gujarat,Ahmedabad
Gujarat,Botad
Gujarat,Amreli
Gujarat,Arvalli
Gujarat,Chhotaudepur
Gujarat,Surendranagar
Gujarat,Banaskantha
Gujarat,Kheda
Gujarat,Dahod
Gujarat,Rajkot
Gujarat,Jamnagar
Gujarat,Sabarkantha
Gujarat,Dangs
Gujarat,Anand
Gujarat,Patan
Haryana,YAMUNANAGAR
Haryana,JHAJJAR
Haryana,SIRSA
Haryana,MEWAT
Haryana,FATEHABAD
Haryana,PALWAL
Haryana,BHIWANI
Haryana,HISAR
Haryana,GURGAON
Haryana,FARIDABAD
Haryana,CHARKHI DADRI
Haryana,JIND
Haryana,SONIPAT
Haryana,KURUKSHETRA
Haryana,KAITHAL
Haryana,MAHENDRAGARH
Haryana,PANIPAT
Haryana,REWARI
Haryana,ROHTAK
